SP_CODE,DATE,YEAR,DOY,PLOT,SITE,ASPECT,PHENO,MAIN_PHENO,INFL,FLS,FRT,NAME,LIFESPAN,TYPE,NATIVE,PollinatorResource,BEE,BUTTERFLY,FLY,MOTHS,BEETLES
ACMBRA,6/17/17,2017,168,TTS1,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/19/16,2016,110,TTS1,TT,S,FL,FL,39,41,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/2/17,2017,92,TTS3,TT,S,"B,FL",FL,4,20,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/27/17,2017,178,TTS22,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/21/16,2016,173,DPS2,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,3/24/17,2017,83,TTS22,TT,S,NA,NA,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/22/17,2017,142,DPS2,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/12/16,2016,103,TTS1,TT,S,FL,FL,20,34,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/30/17,2017,150,TTS2,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/13/17,2017,133,DPS2,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/14/16,2016,166,DPS1,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/6/17,2017,157,TTN12,TT,N,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/20/17,2017,110,TTS23,TT,S,"FL,FR",FL,29,39,6,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/27/17,2017,178,TTN13,TT,N,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/30/17,2017,150,TTS3,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/18/16,2016,139,DPS2,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/27/17,2017,178,TTN12,TT,N,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/26/16,2016,117,DPS2,DP,S,"B, FL",FL,2,2,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/26/16,2016,147,TTS1,TT,S,FR,FR,23,0,44,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/3/17,2017,123,TTS1,TT,S,"FL,FR",FR,8,10,42,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/6/16,2016,97,DPS1,DP,S,FL,FL,3,3,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/1/16,2016,153,DPS1,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/1/16,2016,153,TTS1,TT,S,FR,FR,1,0,1,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/30/16,2016,182,DPS3,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/19/16,2016,110,DPS3,DP,S,"L, FR",FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/1/16,2016,153,TTS2,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/11/16,2016,132,TTS1,TT,S,"FL,FR",FR,24,17,87,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/12/16,2016,103,TTS3,TT,S,B,B,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/26/16,2016,117,DPS3,DP,S,--,--,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/3/17,2017,123,TTN11,TT,N,"FL,FR",FL,6,16,1,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/2/17,2017,92,TTS21,TT,S,FL,FL,5,20,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/27/17,2017,178,TTS21,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/26/16,2016,117,TTS3,TT,S,FL,FL,7,11,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/10/17,2017,100,DPS2,DP,S,"B,FL",FL,3,7,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/7/16,2016,159,TTS2,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/6/17,2017,157,TTS22,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/22/17,2017,142,TTN13,TT,N,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/6/17,2017,157,TTS23,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/22/17,2017,142,TTS21,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,3/24/17,2017,83,DPS2,DP,S,NA,NA,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/13/17,2017,133,DPS3,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/17/17,2017,168,TTS2,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/1/18,2018,121,DPS2,DP,S,"FL,FR",FR,7,4,16,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/8/18,2018,128,DPS2,DP,S,"FL,FR",FR,6,2,22,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/10/17,2017,100,DPS3,DP,S,"FL,FR",FL,5,15,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/4/16,2016,125,TTS1,TT,S,"FL, FR",FL,41,76,31,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/6/16,2016,97,TTS2,TT,S,FL,FL,13,20,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/27/17,2017,178,TTS23,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/30/16,2016,182,DPS2,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/30/17,2017,150,TTN13,TT,N,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,3/24/17,2017,83,TTN13,TT,N,NA,NA,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
